Student ID,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7,Group 8,Group 9,Group 10,Group 11,Group 12,Group 13,Group 14,Group 15,Group 16,Group 17,Group 18,Group 19,Group 20,Group 21,Group 22,Group 23,Group 24,Group 25,Group 26,Group 27,Group 28,Group 29,Group 30,Group 31,Group 32,Group 33,Group 34,Group 35,Group 36,Group 37,Group 38,Group 39,Group 40,Group 41,Group 42,Group 43,Group 44,Group 45,Group 46,Group 47,Group 48,Group 49,Group 50,Group 51,Group 52,Group 53,Group 54,Group 55,Group 56,Group 57,Group 58,Group 59
Sector,Turnover ;  New South Wales ;  Other specialised food retailing ;,Turnover ;  New South Wales ;  Newspaper and book retailing ;,Turnover ;  Victoria ;  Other specialised food retailing ;,Turnover ;  Victoria ;  Newspaper and book retailing ;,Turnover ;  Queensland ;  Newspaper and book retailing ;,Turnover ;  Tasmania ;  Newspaper and book retailing ;,Turnover ;  Australian Capital Territory ;  Newspaper and book retailing ;,Turnover ;  Total (State) ;  Newspaper and book retailing ;,"Turnover ;  Australian Capital Territory ;  Pharmaceutical, cosmetic and toiletry goods retailing ;",Turnover ;  Australian Capital Territory ;  Other specialised food retailing ;,"Turnover ;  Australian Capital Territory ;  Furniture, floor coverings, houseware and textile goods retailing ;",Turnover ;  Western Australia ;  Newspaper and book retailing ;,Turnover ;  South Australia ;  Clothing retailing ;,"Turnover ;  Tasmania ;  Furniture, floor coverings, houseware and textile goods retailing ;","Turnover ;  Australian Capital Territory ;  Cafes, restaurants and catering services ;","Turnover ;  Tasmania ;  Pharmaceutical, cosmetic and toiletry goods retailing ;",Turnover ;  Tasmania ;  Clothing retailing ;,"Turnover ;  Western Australia ;  Cafes, restaurants and catering services ;","Turnover ;  Western Australia ;  Furniture, floor coverings, houseware and textile goods retailing ;","Turnover ;  Western Australia ;  Hardware, building and garden supplies retailing ;","Turnover ;  South Australia ;  Cafes, restaurants and catering services ;","Turnover ;  South Australia ;  Furniture, floor coverings, houseware and textile goods retailing ;","Turnover ;  Queensland ;  Cafes, restaurants and takeaway food services ;",Turnover ;  South Australia ;  Newspaper and book retailing ;,Turnover ;  New South Wales ;  Electrical and electronic goods retailing ;,Turnover ;  New South Wales ;  Takeaway food services ;,"Turnover ;  New South Wales ;  Cafes, restaurants and catering services ;","Turnover ;  Victoria ;  Furniture, floor coverings, houseware and textile goods retailing ;","Turnover ;  Victoria ;  Cafes, restaurants and catering services ;",Turnover ;  Victoria ;  Other recreational goods retailing ;,Turnover ;  Victoria ;  Clothing retailing ;,"Turnover ;  Queensland ;  Cafes, restaurants and catering services ;",Turnover ;  South Australia ;  Electrical and electronic goods retailing ;,Turnover ;  South Australia ;  Other recreational goods retailing ;,Turnover ;  Victoria ;  Footwear and other personal accessory retailing ;,Turnover ;  New South Wales ;  Clothing retailing ;,Turnover ;  New South Wales ;  Footwear and other personal accessory retailing ;,"Turnover ;  New South Wales ;  Clothing, footwear and personal accessory retailing ;","Turnover ;  New South Wales ;  Cafes, restaurants and takeaway food services ;","Turnover ;  Victoria ;  Clothing, footwear and personal accessory retailing ;",Turnover ;  Victoria ;  Department stores ;,"Turnover ;  Victoria ;  Cafes, restaurants and takeaway food services ;","Turnover ;  Queensland ;  Furniture, floor coverings, houseware and textile goods retailing ;",Turnover ;  Victoria ;  Takeaway food services ;,Turnover ;  Queensland ;  Clothing retailing ;,"Turnover ;  South Australia ;  Cafes, restaurants and takeaway food services ;",Turnover ;  Western Australia ;  Electrical and electronic goods retailing ;,Turnover ;  Western Australia ;  Footwear and other personal accessory retailing ;,"Turnover ;  Western Australia ;  Clothing, footwear and personal accessory retailing ;",Turnover ;  Western Australia ;  Other specialised food retailing ;,Turnover ;  Western Australia ;  Household goods retailing ;,Turnover ;  Western Australia ;  Clothing retailing ;,Turnover ;  Tasmania ;  Electrical and electronic goods retailing ;,Turnover ;  Tasmania ;  Other recreational goods retailing ;,Turnover ;  Australian Capital Territory ;  Liquor retailing ;,Turnover ;  Australian Capital Territory ;  Household goods retailing ;,Turnover ;  Australian Capital Territory ;  Electrical and electronic goods retailing ;,Turnover ;  Australian Capital Territory ;  Clothing retailing ;,Turnover ;  Australian Capital Territory ;  Other recreational goods retailing ;
Unit,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions
date,A3349338X,A3349556W,A3349799R,A3349639C,A3349348C,A3349442X,A3349773T,A3349860R,A3349775W,A3349605F,A3349456L,A3349822A,A3349360V,A3349916R,A3349849A,A3349671C,A3349371A,A3349910A,A3349661X,A3349909T,A3349576F,A3349656F,A3349411J,A3349575C,A3349336V,A3349792X,A3349709X,A3349413L,A3349640L,A3349415T,A3349483V,A3349481R,A3349361W,A3349428C,A3349722T,A3349399C,A3349874C,A3349871W,A3349789K,A3349727C,A3349641R,A3349417W,A3349478A,A3349566A,A3349477X,A3349816F,A3349660W,A3349580W,A3349825J,A3349508C,A3349824F,A3349507A,A3349589T,A3349591C,A3349931L,A3349457R,A3349774V,A3349851L,A3349852R
1982 Apr,63.9,50.4,34.9,42.2,18.4,2.9,2.3,135.1,2.5,1.6,2.7,9.7,19.1,6.1,4.4,4,6.7,8,19.2,8.6,14.3,15.2,45.4,8.1,91.8,85.4,61.8,58.2,36.4,15.6,93.6,18.7,16,6.1,26.3,94,32.7,126.7,147.2,119.9,104.2,85.1,31.8,48.7,28.9,30.1,22.5,7.4,28.8,13.1,50.4,21.4,5.1,1.8,1.2,9.7,4.4,3.7,1.1
1982 May,64,49.9,34.6,42.1,17.7,2.9,2.5,134.9,2.5,1.6,3,11,21.6,6.3,3.4,4,7.4,8,21.9,8.2,14.2,17.2,46.8,7.5,102.6,84.8,60.8,62,36.2,15.8,95.3,19.5,19,6.5,27.1,105.7,35.6,141.3,145.6,122.5,110.2,85.1,32.8,48.9,30.6,30,27.8,8,32.1,13.4,57.9,24.1,4.7,1.9,1.4,11.1,4.9,3.8,1
1982 Jun,62.7,48,34.6,38.5,17.7,2.9,2.3,128.2,2.5,1.7,2.5,10.7,18.3,6.4,3.6,3.9,6.7,7.3,19.9,7.9,13.4,17.4,44.8,6.7,105,80.7,58.7,53.8,35.7,15.2,85.2,18.6,18.1,6.1,24.3,95.1,32.5,127.6,139.4,109.6,96.7,82.8,34.9,47.1,30.5,28.7,26.7,7,28.5,13.5,54.4,21.4,5.2,1.9,1.3,9.9,4.8,3.2,1
1982 Jul,65.6,48.6,35.2,38.9,18.4,3.1,2.6,129.9,2.6,1.6,2.8,9,18.6,5.9,4,4.4,7.1,7.8,19.3,8.7,14.5,18.7,47.8,7.8,106,82.4,60.3,57.9,34.6,15.2,91.6,22.6,20.3,6.6,25.6,95.3,33.5,128.8,142.7,117.2,104.6,82.1,34.6,47.5,27.9,31.4,28.2,7.2,29,13.8,56.2,21.8,5.2,1.8,1.4,10.2,5.1,3.4,1.1
1982 Aug,62.6,51.3,33.8,39.5,17.8,3.1,2.6,133,2.8,1.6,2.8,9.1,17.1,5.7,3.6,4.2,5.8,7.6,19.6,7.9,13.6,18.6,48.2,7.9,96.9,80.7,56.1,59.2,32.5,14.5,85.2,22.6,19.6,6.3,23.5,82.8,29.4,112.3,136.8,108.7,92.5,81.8,32.9,49.3,27.4,31.1,27.4,6.6,25.3,13.3,55,18.7,4.8,1.8,1.6,10.1,4.6,3.1,0.9
1982 Sep,64.4,49.6,35.4,41.7,18.8,3.2,2.6,135.5,2.8,1.8,2.6,10,18.2,5.3,4.2,4,5.8,8.2,19.9,8.7,13.9,18.8,49.8,7.8,97.5,82.1,58.1,57.1,33.9,15.1,89.5,23.2,19.9,6.4,24.3,89.4,32.2,121.6,140.2,113.8,98.3,84.6,33.7,50.7,29.1,31.7,27,7.4,26.9,13.4,55.6,19.5,4.8,1.8,1.4,10,4.3,3.4,1
1982 Oct,66,51.6,38,46.2,20.2,2.9,2.7,140.6,2.6,1.7,3.7,7.7,20.7,5.5,4.8,4.2,5.3,9.3,18,10.2,17.2,18.7,48.8,7.6,99.3,87.3,53.9,66.9,37.7,16.3,93,20.8,19.7,7.4,25.8,83.3,31.9,115.2,141.2,118.7,102.8,91.7,31.7,54.1,33.4,37.8,25.5,8.3,29.1,14.1,53.6,20.8,4.2,1.8,1.5,11.9,4.7,3.4,1.2
1982 Nov,65.3,55.8,38.2,43.5,21.5,3.1,3,145.7,3.1,1.7,3.9,8.4,23.6,6,5.4,4.7,7.1,9.6,19,13.2,17.3,21,50.4,8.8,107.8,87.4,61.2,78.1,40.3,17.5,107.9,22.7,22.7,7.8,29,99.3,35,134.3,148.7,136.9,114.6,97.7,33.8,57.3,35.5,38.2,27.4,8.8,32.6,13.8,59.6,23.8,5.3,2,1.5,13.6,5.1,3.6,1.3
1982 Dec,77.9,69.9,43.9,57.2,30.9,4.6,4.9,194,3.9,1.9,4.2,11.8,33.4,7.7,6.9,5.8,11.1,13.4,23,26.6,22.8,23.8,55.7,12.9,155.5,97.2,75.7,87.5,45.2,21.5,148.2,24.5,30.3,10.5,39.8,142.9,51.7,194.6,172.9,188,208.5,109.3,42.6,64.1,48.8,47.6,37.6,13.1,47.9,16,87.2,34.8,7.9,2.5,1.6,19.7,8,4.7,1.8
1983 Jan,65.1,50.1,36,43.7,22.8,2.9,2.5,138.6,2.5,1.6,3,7.4,20,4.7,3.8,3.9,5.3,8,16.6,9.6,15.3,19.7,51.2,8,95.1,93,54.2,58.8,36.9,15.6,81.6,20.5,18.8,6.7,25,78.5,31.4,109.8,147.2,106.6,81.5,94.6,28.8,57.7,29.7,39.5,25.8,7.2,26,12.1,52,18.8,4.7,1.7,1,10.6,4.3,2.7,1
1983 Feb,62.3,64.7,35.4,44.3,20.2,3.2,3,152.8,2.5,1.6,3.3,7.4,17.3,5,4.2,3.8,5.6,7.9,16.7,9.6,13.9,18.9,47.6,8.9,105.1,85.1,56.7,59.7,38,16.3,73.5,19.7,19.8,6.4,23.4,72.9,29.4,102.3,141.8,96.9,86.6,88.2,26.2,50.2,25.2,35.1,24.9,7,25,12.3,51.1,18,4.5,1.9,1.1,10.3,4.4,2.7,1
1983 Mar,65.7,63.1,39.1,48.3,20.9,3.5,3.1,157.3,2.6,1.8,3.6,7.3,23.5,6,4,4.2,6.5,8.7,18,10.1,16.2,22.9,50.5,9.8,124.1,83.7,60.9,71.6,37,16.8,100.6,21.8,24.1,7.7,28.2,93.3,34.2,127.5,144.6,128.8,108,92,30.1,55,31.1,40.8,28.2,7.5,27.2,13.7,56.3,19.7,5.7,2.1,1.1,12,5.3,3.8,1.1
1983 Apr,61.9,51.1,35.6,37,18.3,3.1,2.6,131.2,2.2,1.7,3.4,7.4,23.3,5.6,4.4,3.9,6.9,8.8,16.4,10.1,16.7,23,48.3,10.5,112.3,79.7,63.5,56.2,35.1,16,105.6,21.3,20.7,7.5,28.6,111.2,39.4,150.6,143.2,134.1,115.3,85.2,29.3,50.2,33.1,38.3,26.3,8.2,30.4,12.8,52.9,22.2,5.4,2.1,1.3,10.6,4,4.7,1.1
1983 May,63.7,54.8,36.4,40.1,20.2,3.1,2.8,142,2.3,1.8,3.7,8.3,24.5,6.2,4.3,3.9,7,9.1,19.6,11.1,16.3,26.8,48.9,11.4,120.5,81.1,64.5,62,34.1,16.1,101.9,21.3,22.5,7.7,28.4,112.5,41.4,153.9,145.6,130.3,112.1,86.8,35.1,52.7,33.9,39.5,29.4,9.1,34,13.2,60.2,25,5.6,2.1,1.4,11.6,4.8,4.6,1.1
